1,اخلاص نیت کی اہمیت,اخلاص نیت کا حکم ,وَمَا أُمِرُوا إِلَّا لِيَعْبُدُوا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ حُنَفَاءَ وَيُقِيمُوا الصَّلَاةَ وَيُؤْتُوا الزَّكَاةَ وَذَلِكَ دِينُ الْقَيِّمَةِ (البينة:5),اور انھیں اس کے سوا حکم نہیں دیا گیا کہ وہ اللہ کی عبادت کریں، اس حال میں کہ اس کے لیے دین کو خالص کرنے والے، ایک طرف ہونے والے ہوں اور نمازقائم کریں اور زکوٰۃ دیں اور یہی مضبوط ملت کا دین ہے۔
2,اخلاص نیت کی اہمیت,تمام عبادات کی قبولیت کی شرط,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],اور تمام عبادات کے صحیح ہونے کے لیےنیت کرنا شرط ہےکیونکہ اس کی دلیل آپﷺ کا یہ فرمان ہے:
3,اخلاص نیت کی اہمیت,تمام عبادات کی قبولیت کی شرط,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],عمر بن خطاب رضی اللہ عنہ  سے مروی ہے کہتےہیں کہ میں نے رسول اللہ ﷺکو فرماتے  ہوئےسنا: اعمال کا دارومدار نیتوں پر ہے۔ہر  انسان کے لیے وہی ہے  جس کی اس نے نیت کی ۔ سو جس نے اللہ اور اس کے رسول کی طرف ہجرت کی تو اس کی ہجرت اللہ اور اس کے رسول کی طرف ہے اور جس نے دنیا (حاصل کرنے )کے لیے ہجرت کی یا کسی عورت کے لیے کہ اس سے نکاح کر لے تو اس کی ہجرت اسی کی طرف ہے جس کی طرف اس نے ہجرت کی ہے۔
4,اخلاص نیت کی اہمیت,تمام عبادات کی قبولیت کی شرط,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ غَزَا فِي سَبِيلِ اللَّهِ وَلَمْ يَنْوِ إِلَّا عِقَالًا فَلَهُ مَا نَوَى [سنن النسائی:3138]
5,اخلاص نیت کی اہمیت,تمام عبادات کی قبولیت کی شرط,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],رسول اللہﷺ نےفرمایا:جو شخص  اللہ کے راستے میں جہاد کرے اور نیت نہ رکھے مگر صرف رسی حاصل کرنے کی تو اس کو وہی ملے گا جس کی اس نے نیت کی ۔
6,اخلاص نیت کی اہمیت,اللہ تعالی صرف خالص عمل ہی  قبول کرتا ہے ,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],ابو امامہ باہلی فرماتے ہیں ایک شخص نبیﷺکے پاس حاضر ہوااور کہنے لگا آپ بتائیں ایک شخص جنگ کے لیے جاتا ہے اور  ثواب اور شہرت دونوں کا طلب گار ہے اسے کیا ملے گا؟رسول اللہﷺنے فرمایا:اسے کچھ نہیں ملے گا۔اس شخص نے (یہ سوال) تین دفعہ دہرایاہر دفعہ رسول اللہﷺفرماتے تھے اسے کچھ نہیں ملے گا،پھر آپﷺنے فرمایا :اللہ صرف اس عمل کو قبول فرماتا ہے جو خالص اس کے لیے کیا جائے اور اس کے ذریعے صرف اس کا چہرہ مقصود ہو۔
7,اخلاص نیت کی اہمیت,ہر عمل اللہ کے لیے کرنا,والنَّيةُ شَرْط في صِحَّة جميع العبادات لقوله صلّى الله عليه وسلّم: [الشرح الممتع],ابوموسی اشعری نے پوچھا :اے معاذ!تم (تہجد میں)قرآن کیسے پڑھتے ہو؟ انہوں نے کہا: میں تو رات کے شروع میں سوتا ہوں پھر اپنی نیند کا ایک حصہ پورا کر کے اٹھ جاتا ہوں اور جو کچھ اللہ نے میرے لیے مقدر کر رکھا ہے اس میں سے قرآن پڑھتا ہوں۔ اس طرح بیداری میں ،میں اللہ سے جس ثواب کی امید رکھتا ہوں سونے کی حالت  میں بھی اس کے ثواب کا اسی طرح امیدوار رہتا ہوں۔
8,اخلاص نیت کی اہمیت,عمر رضی اللہ کا قول,وكان من دعاء عمر بن الخطاب - رضي الله عنه - اللهم اجعل عملي كله صالحا واجعله لوجهك خالصا ولا تجعل لأحد فيه شيئا .(الداء والدواء),عمر بن خطاب رضی اللہ عنہ دعا کیا کرتے تھے:اے اللہ میرے سارے عمل کو صالح بنا دے اور اسے اپنے چہرے کے لیے خالص کرلے اوراس میں کسی ایک کے لیے بھی کوئی حصہ نہ رکھ۔
9,نیت میں بگاڑ کا وبال,بڑے بڑے اعمال کاحقیر ہو جانا,ابن المبارك کہتے ہیں: کتنے کتنے بڑے عمل ہیں کہ نیت جن کو حقیر کر دیتی ہے ,اسکی دلیل اس حدیث سے ہے کہ جس آدمی نے ہجرت کی تو یہ اعمال میں سے تو بہت بڑا عمل ہے لیکن یہ عمل حقیر ہوگیا اور بری نیت کی وجہ سےاس کا اجر چلا گیا ۔
10,نیت میں بگاڑ کا وبال,نیت کی بنا پر ایک ہی عمل  کےاجر کا  فرق,ابن المبارك کہتے ہیں: کتنے کتنے بڑے عمل ہیں کہ نیت جن کو حقیر کر دیتی ہے ,آپ دیکھیں گے کہ دوآدمی ایک ہی جگہ نماز پڑھ رہے ہوتے ہیں  مگر ان دونوں کی نمازوں کے ثواب میں مشرق سے مغرب تک  کافرق ہوتا ہے 
11,نیت میں بگاڑ کا وبال,نیت کی بنا پر ایک ہی عمل  کےاجر کا  فرق,ابن المبارك کہتے ہیں: کتنے کتنے بڑے عمل ہیں کہ نیت جن کو حقیر کر دیتی ہے ,کیونکہ ان میں ایک مخلص ہوتا  ہے اور دوسرا مخلص نہیں ہوتا 
12,نیت میں بگاڑ کا وبال,نیت کی بنا پر ایک ہی عمل  کےاجر کا  فرق,ابن المبارك کہتے ہیں: کتنے کتنے بڑے عمل ہیں کہ نیت جن کو حقیر کر دیتی ہے ,یہی وہ چیز ہے جس کی وجہ سے  لوگوں کا ایک دوسرے سے فرق بڑا عظیم ہو جاتا ہے
13,نیت میں بگاڑ کا وبال,دکھلاوے کی نماز پڑھنے والوں کے لیے وعید ,فَوَيْلٌ لِلْمُصَلِّينَ () الَّذِينَ هُمْ عَنْ صَلَاتِهِمْ سَاهُونَ () الَّذِينَ هُمْ يُرَاءُونَ (الماعون:6-4),پس ان نمازیوں کے لیے بڑی ہلاکت ہے ۔وہ جو اپنی نماز سے غافل ہیں ۔وہ جو دکھاوا کرتے ہیں ۔
14,نیت میں بگاڑ کا وبال,نفاق کی علامت,إِنَّ الْمُنافِقِينَ يُخادِعُونَ اللَّهَ وَهُوَ خادِعُهُمْ وَإِذا قامُوا إِلَى الصَّلاةِ قامُوا كُسالى يُراؤُنَ النَّاسَ وَلا يَذْكُرُونَ اللَّهَ إِلَّا قَلِيلًا (النساء:142),بے شک منافق لوگ اللہ سے دھوکا بازی کر رہے ہیں، حالانکہ وہ انھیں دھوکا دینے والا ہے اور جب وہ نماز کے لیے کھڑے ہوتے ہیں تو سست ہو کر کھڑے ہوتے ہیں، لوگوں کو دکھاوا کرتے ہیں اور اللہ کو یاد نہیں کرتے مگر بہت کم۔
15,نیت میں بگاڑ کا وبال,دجال سے زیادہ خطرناک ,عَنْ أَبِي سَعِيدٍ قَالَ خَرَجَ عَلَيْنَا رَسُولُ اللَّهِ ﷺ وَنَحْنُ نَتَذَاكَرُ الْمَسِيحَ الدَّجَّالَ فَقَالَ أَلَا أُخْبِرُكُمْ بِمَا هُوَ أَخْوَفُ عَلَيْكُمْ عِنْدِي مِنْ الْمَسِيحِ الدَّجَّالِ قَالَ قُلْنَا بَلَى فَقَالَ الشِّرْكُ الْخَفِيُّ أَنْ يَقُومَ الرَّجُلُ يُصَلِّي فَيُزَيِّنُ صَلَاتَهُ لِمَا يَرَى مِنْ نَظَرِ رَجُلٍ [سنن ابن ماجة:4204],ابوسعید رضی اللہ  عنہ کہتے ہیں کہ رسول اللہﷺہمارے پاس تشریف لائےاور ہم دجال کا ذکر کر رہے تھے۔ توآپ نے فرمایا :کیا میں تمہیں ایسی چیز نہ بتاؤں جو میرے نزدیک تمہارے لیے مسیح دجال سے بھی زیادہ خطرناک ہے ؟ ہم نے کہا:کیوں نہیں۔آپﷺنے فرمایا: چھپا ہوا شرک ۔ وہ یہ ہے کہ آدمی نماز پڑھنے کے لیے کھڑا ہو تا ہے جب اسے معلوم ہوتا ہے کہ کوئی اسے دیکھ رہا ہے تو اپنی نماز کو خوبصورت بناتا ہے ۔
16,کرنے کےکام,اللہ کے لیے جینا مرنا,قُلْ إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ (الأنعام:162),کہہ دو بے شک میری نماز اور میری قربانی اور میری زندگی اور میری موت اللہ کے لیے ہے، جو جہانوں کا رب ہے۔
17,کرنے کےکام,عبادت میں اس کے ساتھ کسی کو شریک نہ کرنا,فَمَنْ كَانَ يَرْجُوا لِقَاءَ رَبِّهِ فَلْيَعْمَلْ عَمَلًا صَالِحًا وَلا يُشْرِكْ بِعِبَادَةِ رَبِّهِ أَحَدًا  (الكهف:110),پس جو شخص اپنے رب کی ملاقات کی امید رکھتا ہو تو لازم ہے کہ وہ عمل کرے نیک عمل اور اپنے رب کی عبادت میں کسی کو شریک نہ بنائے۔
